This exotic market is also a place where locals bring their own pet birds for airings.	this exotic market is also a place where locals bring their own pet birds for airings.	1.0
This upmarket mall is designed around the five Chinese elements, with zones for luxury shopping, beauty and lifestyle, fashion, dining, and entertainment. Expats flock to its outdoor bars.	this upmarket mall is designed around the five chinese elements, with zones for luxury shopping, beauty and lifestyle, fashion, dining, and entertainment. expats flock to its outdoor bars.	1.0
A huge outdoor shopping mall.	a huge outdoor shopping mall.	1.0
Oldest post office in Hong Kong	oldest post office in hong kong	1.0
Known for its busy streets and shopping	known for its busy streets and shopping	1.0
Located near Gate 1 at Hong Kong International Airport, Plaza Premium First Hong Kong features a range of surprises including AeroBar , a whisky bar with the airport's biggest selection of whisky, an à la carte dining concept, Primo, offering international and local dishes, as well as the private lounge space, Infinity Room for exclusive use. Plaza Premium First brings about an elevated airport lounge concept offering an array of all inclusive personalised services and exquisite dining experiences amid a relaxing lounge ambiance adorned with crafted interior.	located near gate 1 at hong kong international airport, plaza premium first hong kong features a range of surprises including aerobar , a whisky bar with the airport's biggest selection of whisky, an à la carte dining concept, primo, offering international and local dishes, as well as the private lounge space, infinity room for exclusive use. plaza premium first brings about an elevated airport lounge concept offering an array of all inclusive personalised services and exquisite dining experiences amid a relaxing lounge ambiance adorned with crafted interior.	1.0
Since 1888, this tram has been Hong Kong Island's most reliable form of public transport between Central district and The Peak	since 1888, this tram has been hong kong island's most reliable form of public transport between central district and the peak	1.0
Spread over 23 levels, The ONE is the tallest-and among the hippest-retail complex in Hong Kong. Find everything from luxury watches to cosmetics and from lifestyle goods to cutting-edge fashion.	spread over 23 levels, the one is the tallest-and among the hippest-retail complex in hong kong. find everything from luxury watches to cosmetics and from lifestyle goods to cutting-edge fashion.	1.0
Our site is one of the best examples of heritage conservation in Hong Kong. Three Grade 1 listed dilapidated military buildings have been transformed into stunning event spaces, which include a gallery and theatre. The site itself sits in 3 acres of sub-tropical rainforrest and is open to the public to explore (free of charge). It is truly a calm oasis, unexpectedly situated in the centre of Admiralty, which will appeal to anyone interested in Architecture, history or art. Wandering around the site will give you a different and unique perspective to Hong Kong.	our site is one of the best examples of heritage conservation in hong kong. three grade 1 listed dilapidated military buildings have been transformed into stunning event spaces, which include a gallery and theatre. the site itself sits in 3 acres of sub-tropical rainforrest and is open to the public to explore (free of charge). it is truly a calm oasis, unexpectedly situated in the centre of admiralty, which will appeal to anyone interested in architecture, history or art. wandering around the site will give you a different and unique perspective to hong kong.	1.0
Perfectly framed by mountains and surrounded by the beautiful South China Sea, Discovery Bay, a serene resort development on the northeastern coast of Lantau Island, is a peaceful oasis away from hectic Hong Kong. The destination offers a wide selection of dining options and leisure activities. D'Deck, the renowned oceanfront alfresco dining hotspot boasts 20 restaurants with most commanding spectacular views of the sea and Disneyland fireworks. The 400-metre-long beach, hiking and walking trails, waterfront boardwalk, horse-drawn carriage, and the deluxe resort hotel Auberge Discovery Bay Hong Kong, present a total resort experience for leisure and getaway, yet it is just a step away from downtown Central, the Hong Kong International Airport, nearby attractions such as Hong Kong Disneyland, Ngong Ping 360, Po Lin Monastery, Giant Buddha and Wisdom Path. Take the ferry from Central Pier 3, or shuttle bus from the Airport, Tung Chung and Sunny Bay MTR stations.	perfectly framed by mountains and surrounded by the beautiful south china sea, discovery bay, a serene resort development on the northeastern coast of lantau island, is a peaceful oasis away from hectic hong kong. the destination offers a wide selection of dining options and leisure activities. d'deck, the renowned oceanfront alfresco dining hotspot boasts 20 restaurants with most commanding spectacular views of the sea and disneyland fireworks. the 400-metre-long beach, hiking and walking trails, waterfront boardwalk, horse-drawn carriage, and the deluxe resort hotel auberge discovery bay hong kong, present a total resort experience for leisure and getaway, yet it is just a step away from downtown central, the hong kong international airport, nearby attractions such as hong kong disneyland, ngong ping 360, po lin monastery, giant buddha and wisdom path. take the ferry from central pier 3, or shuttle bus from the airport, tung chung and sunny bay mtr stations.	1.0
As the one and only celebrity-inspired attraction in Hong Kong, guests can meet over 100 A-Listers from around the world in one place at Madame Tussauds Hong Kong. Not only can fans get up close with their idols and snap pictures, they can also interact with these celebrities and iconic personalities as they step into each of the specially designed exhibition sets. Play martial arts with Jackie Chan, meet with Angelina Jolie and Brad Pitt, pose with David Beckham, savour a chic breakfast with the adorable Audrey Hepburn in her little black dress or pose alongside the ultimate fashion and music icon – Lady Gaga. Who do you want to meet?	as the one and only celebrity-inspired attraction in hong kong, guests can meet over 100 a-listers from around the world in one place at madame tussauds hong kong. not only can fans get up close with their idols and snap pictures, they can also interact with these celebrities and iconic personalities as they step into each of the specially designed exhibition sets. play martial arts with jackie chan, meet with angelina jolie and brad pitt, pose with david beckham, savour a chic breakfast with the adorable audrey hepburn in her little black dress or pose alongside the ultimate fashion and music icon – lady gaga. who do you want to meet?	1.0
Launched in November 2007, Cotai Water Jet is a premium high-speed ferry service between Hong Kong and Macao. As of Dec 2017, the maritime jet fleet has serviced more than 67 million passengers and in 2017 averaged approximately 94 daily sailings. Its 14 custom-built catamarans have the capacity to carry more than 400 passengers each and operate at top speeds of approximately 42 knots. Passengers on Cotai Water Jet have a choice of three classes of service as well as direct sailings between ports in Macao, Taipa, Hong Kong, Kowloon and Hong Kong International Airport, thus providing an important transportation option for both locals and visitors to Macao. The Cotai Water Jet service is managed and operated on behalf of owner Sands China Ltd. by Chu Kong High Speed Ferry Co. Ltd. of Hong Kong.	launched in november 2007, cotai water jet is a premium high-speed ferry service between hong kong and macao. as of dec 2017, the maritime jet fleet has serviced more than 67 million passengers and in 2017 averaged approximately 94 daily sailings. its 14 custom-built catamarans have the capacity to carry more than 400 passengers each and operate at top speeds of approximately 42 knots. passengers on cotai water jet have a choice of three classes of service as well as direct sailings between ports in macao, taipa, hong kong, kowloon and hong kong international airport, thus providing an important transportation option for both locals and visitors to macao. the cotai water jet service is managed and operated on behalf of owner sands china ltd. by chu kong high speed ferry co. ltd. of hong kong.	1.0
Harbour City is a one-stop shopping paradise with over 450 shops, 50 food & beverage outlets, one cinema, three hotels, 10 office buildings, two serviced apartments and a luxurious private club all under one roof. With the "Star" Ferry pier (named one of the "50 Places of a Lifetime" by the National Geographic Traveler in 1999), its home to cruise liner berths, maritime history and fabulous harbour view - all at its doorstep. It is easy to see where the mall drew the inspiration for its name. Harbour City is made up of five sections and offers eight categories of retail outlets. The five sections that complete Harbour City include Gateway Arcade, Ocean Centre, Ocean Terminal, Marco Polo Hong Kong Hotel Arcade and Star Annex. Each offers a huge range of products and services including: Jewellery and Watches, Beauty, AV/Electrical Appliances, International Labels for Fashion & Leather Goods, Lifestyle, Casual Wear/Sport, Kid's Paradise and Food & Beverages Outlets. There is literally something for everyone, regardless of age group or cultural/economical background.	harbour city is a one-stop shopping paradise with over 450 shops, 50 food & beverage outlets, one cinema, three hotels, 10 office buildings, two serviced apartments and a luxurious private club all under one roof. with the "star" ferry pier (named one of the "50 places of a lifetime" by the national geographic traveler in 1999), its home to cruise liner berths, maritime history and fabulous harbour view - all at its doorstep. it is easy to see where the mall drew the inspiration for its name. harbour city is made up of five sections and offers eight categories of retail outlets. the five sections that complete harbour city include gateway arcade, ocean centre, ocean terminal, marco polo hong kong hotel arcade and star annex. each offers a huge range of products and services including: jewellery and watches, beauty, av/electrical appliances, international labels for fashion & leather goods, lifestyle, casual wear/sport, kid's paradise and food & beverages outlets. there is literally something for everyone, regardless of age group or cultural/economical background.	1.0
Western District is the area least influenced by Western culture. It includes several markets.	western district is the area least influenced by western culture. it includes several markets.	1.0
Situated at Causeway Bay, the most vibrant spot in Hong Kong, Times Square has been regarded as one of the most popular shopping centers and tourist spots. Recognized as the ultimate shopping landmark, Times Square houses more than 230 world-renowned brands on 16 floors, with an exclusive blend of shops ranging from voguish apparel, leather goods, jewelry to accessories. To bring a great shopping excitement, Times Square encloses a number of reputable electronics and audio vision chain stores, as well as a wide selection of sport specialty stores in a cutting-edge and convenient environment. Times Square provides an array of up-marketed nationwide eateries, including regional Chinese specialists, various Asian delicacies and western cuisine, making Times Square a gourmet paradise for both the locals and tourists. The signature Open Piazza of Times Square is the most-sought-after exhibition venue for in Hong Kong.	situated at causeway bay, the most vibrant spot in hong kong, times square has been regarded as one of the most popular shopping centers and tourist spots. recognized as the ultimate shopping landmark, times square houses more than 230 world-renowned brands on 16 floors, with an exclusive blend of shops ranging from voguish apparel, leather goods, jewelry to accessories. to bring a great shopping excitement, times square encloses a number of reputable electronics and audio vision chain stores, as well as a wide selection of sport specialty stores in a cutting-edge and convenient environment. times square provides an array of up-marketed nationwide eateries, including regional chinese specialists, various asian delicacies and western cuisine, making times square a gourmet paradise for both the locals and tourists. the signature open piazza of times square is the most-sought-after exhibition venue for in hong kong.	1.0
sky100 Hong Kong Observation Deck is located on the 100th floor of International Commerce Centre (ICC), the tallest building in Hong Kong. At 393 m above sea level, it is the only indoor observation deck in Hong Kong offering 360-degree views of the territory and its famous Victoria Harbour. Connected to major transportation networks and world-class shopping mall "Elements" in the city. It has been acclaimed as the must-visit first stop for tourists to Hong Kong. It also features exceptional swift double-deck high-speed elevators, which reach the 100th floor in just 60 seconds. Before you visit sky100, we recommend you to check our opening hours & special arrangement in our website, as some area maybe blocked due to special events held by other parties. Hope to see you soon in sky100.	sky100 hong kong observation deck is located on the 100th floor of international commerce centre (icc), the tallest building in hong kong. at 393 m above sea level, it is the only indoor observation deck in hong kong offering 360-degree views of the territory and its famous victoria harbour. connected to major transportation networks and world-class shopping mall "elements" in the city. it has been acclaimed as the must-visit first stop for tourists to hong kong. it also features exceptional swift double-deck high-speed elevators, which reach the 100th floor in just 60 seconds. before you visit sky100, we recommend you to check our opening hours & special arrangement in our website, as some area maybe blocked due to special events held by other parties. hope to see you soon in sky100.	1.0
Grand Plaza is home to a stellar line-up of international watch and jewelry brands, concept stores as well as fashion and lifestyle labels. The dedicated Dining Floors feature 20 gourmet dining venues where international cuisine is served in stylish surroundings.	grand plaza is home to a stellar line-up of international watch and jewelry brands, concept stores as well as fashion and lifestyle labels. the dedicated dining floors feature 20 gourmet dining venues where international cuisine is served in stylish surroundings.	1.0
About Noah’s Ark Hong Kong Noah’s Ark Hong Kong is the world’s first replica built to Biblical specifications. It is on Ma Wan Island with beautiful views of the Tsing Ma Bridge and Rambler Channel. It is a destination for entertainment, education and conservation with a wide range of facilities and edutainment activities such as the Ark Garden, Ark Expo, Treasure House, Ark Life Education House, Solar Tower & e-Planet. It promotes love, harmony and positive values in the community and offers visitors a whole new experience.	about noah’s ark hong kong noah’s ark hong kong is the world’s first replica built to biblical specifications. it is on ma wan island with beautiful views of the tsing ma bridge and rambler channel. it is a destination for entertainment, education and conservation with a wide range of facilities and edutainment activities such as the ark garden, ark expo, treasure house, ark life education house, solar tower & e-planet. it promotes love, harmony and positive values in the community and offers visitors a whole new experience.	1.0
This massive Mongkok street market is one of the best spots in the city to pick up a bargain. Find T-shirts, cheongsams, silk pyjamas, chopsticks, handbags, belts, hair accessories, toys, and more.	this massive mongkok street market is one of the best spots in the city to pick up a bargain. find t-shirts, cheongsams, silk pyjamas, chopsticks, handbags, belts, hair accessories, toys, and more.	1.0
The Hong Kong Museum of Medical Sciences is an independent public museum established in 1996 by the Hong Kong Museum of Medical Sciences Society. It is housed in the Old Pathological Institute, one of Hong Kong’s declared monuments.	the hong kong museum of medical sciences is an independent public museum established in 1996 by the hong kong museum of medical sciences society. it is housed in the old pathological institute, one of hong kong’s declared monuments.	1.0
One of the world's most beautiful theme parks and ranked as the 7th most popular theme parks in the world by Forbes - the home-grown destination includes an iconic Marine Land, Amazing Asian Animals (giant pandas, red pandas, asian otters, etc.), and cable cars as well as state-of-the-art, world-class facilities such as Polar Adventure, Thrill Mountain, and Aqua City.	one of the world's most beautiful theme parks and ranked as the 7th most popular theme parks in the world by forbes - the home-grown destination includes an iconic marine land, amazing asian animals (giant pandas, red pandas, asian otters, etc.), and cable cars as well as state-of-the-art, world-class facilities such as polar adventure, thrill mountain, and aqua city.	1.0
Conveniently siting at the city hub of Tsim Sha Tsui, The Sun Arcade is where the largest T Galleria by DFS located with array of international top brands. You may also enjoy your shopping spree here for trendy fashion.	conveniently siting at the city hub of tsim sha tsui, the sun arcade is where the largest t galleria by dfs located with array of international top brands. you may also enjoy your shopping spree here for trendy fashion.	1.0
LANDMARK represents the epitome of top-tier, opulent shopping and lifestyle experiences. Drawing from a rich heritage dating back to 1904, LANDMARK today is the luxury shopping destination of Hongkong Land’s Central portfolio and includes the 4 iconic buildings of LANDMARK ATRIUM, LANDMARK ALEXANDRA, LANDMARK CHATER and LANDMARK PRINCE’S, seamlessly linked by pedestrian bridges, and offering approximately 208 of the finest stores and restaurants. From high fashion and accessories to watches and jewellery, from luxury living to beauty and grooming, from international cuisine to authentic gourmet dining, LANDMARK brings the ultimate shopping experience to discerning customers.	landmark represents the epitome of top-tier, opulent shopping and lifestyle experiences. drawing from a rich heritage dating back to 1904, landmark today is the luxury shopping destination of hongkong land’s central portfolio and includes the 4 iconic buildings of landmark atrium, landmark alexandra, landmark chater and landmark prince’s, seamlessly linked by pedestrian bridges, and offering approximately 208 of the finest stores and restaurants. from high fashion and accessories to watches and jewellery, from luxury living to beauty and grooming, from international cuisine to authentic gourmet dining, landmark brings the ultimate shopping experience to discerning customers.	1.0
Not many would guess that one of the most popular sporting events in Asia centres around rugby, but the Hong Kong Sevens does just that. Held annually at the famed Hong Kong stadium, this international rugby tournament brings together 28 teams from around the globe. Over the course of 3 days, upwards of 80,000 fans gather to watch the best rugby players in the world compete for the ultimate title. And, if you ever need a breather from the sporting action, there are plenty of other fun activities and musical entertainment to choose from.	not many would guess that one of the most popular sporting events in asia centres around rugby, but the hong kong sevens does just that. held annually at the famed hong kong stadium, this international rugby tournament brings together 28 teams from around the globe. over the course of 3 days, upwards of 80,000 fans gather to watch the best rugby players in the world compete for the ultimate title. and, if you ever need a breather from the sporting action, there are plenty of other fun activities and musical entertainment to choose from.	1.0
Florentia Village is an Italian designer outlet mall offering international luxury brands and products at year-round attractive prices. Florentia Village already has retail outlets in Tianjin, Shanghai and Guangzhou in China. With the future openings in Chengdu, Wuhanand Chongqing, the extensive network of outlets bring a True Italian shopping experience to fashion enthusiasts. Florentia Village houses nearly 200 world famous brands in its China locations. In Hong Kong, Florentia Village has a curated mix of 20 international luxury brands in its 60,000 square feet of shopping area. Save up to 80% on brands such as Furla, Kenzo, Links of London, Prada, Salvatore Ferragamo, Versace and many more. A shoppers paradise all year around.You can’t miss Florentia Village’s stylish glass facade. Conveniently located in Kwai Hing at KC100 mall, 100 Kwai Cheong Road, it’s a quick 5 minute walk from the MTR station or simple ride from the airport or Lo Wu. Make use of free WIFI in the outlet, enjoy the events and dine in one of the many outlets in the adjacent mall - a day of True shopping extravaganza! 【Opening Hours】 10:00 AM-8:00 PM (Monday - Thursday) 10:00 AM-9:00 PM (Friday - Sunday) 10:00 AM–9:00 PM(Public Holiday) (Opening hours may vary among stores and on public holiday)	florentia village is an italian designer outlet mall offering international luxury brands and products at year-round attractive prices. florentia village already has retail outlets in tianjin, shanghai and guangzhou in china. with the future openings in chengdu, wuhanand chongqing, the extensive network of outlets bring a true italian shopping experience to fashion enthusiasts. florentia village houses nearly 200 world famous brands in its china locations. in hong kong, florentia village has a curated mix of 20 international luxury brands in its 60,000 square feet of shopping area. save up to 80% on brands such as furla, kenzo, links of london, prada, salvatore ferragamo, versace and many more. a shoppers paradise all year around.you can’t miss florentia village’s stylish glass facade. conveniently located in kwai hing at kc100 mall, 100 kwai cheong road, it’s a quick 5 minute walk from the mtr station or simple ride from the airport or lo wu. make use of free wifi in the outlet, enjoy the events and dine in one of the many outlets in the adjacent mall - a day of true shopping extravaganza! 【opening hours】 10:00 am-8:00 pm (monday - thursday) 10:00 am-9:00 pm (friday - sunday) 10:00 am–9:00 pm(public holiday) (opening hours may vary among stores and on public holiday)	1.0
Hong Kong's number one tourist destination features the Peak Tower and the Peak Tram, the city's oldest mode of public transport.	hong kong's number one tourist destination features the peak tower and the peak tram, the city's oldest mode of public transport.	1.0
Sai Kung is a small fishing village with picturesque boats, beaches and mountain scenery. The fresh seafood is plentiful and there are many dining options and wine bars along the seaside promenade. A day at the beach here makes for a nice change of pace from Hong Kong.	sai kung is a small fishing village with picturesque boats, beaches and mountain scenery. the fresh seafood is plentiful and there are many dining options and wine bars along the seaside promenade. a day at the beach here makes for a nice change of pace from hong kong.	1.0
Book on the official website and enjoy exclusive privileges! Enter a magical kingdom inspired by fairy-tale dreams and explore 7 lands—Adventureland, Grizzly Gulch, Mystic Point, Toy Story Land, Fantasyland, Tomorrowland and Main Street, U.S.A.—filled with beauty, excitement and Disney Characters.	book on the official website and enjoy exclusive privileges! enter a magical kingdom inspired by fairy-tale dreams and explore 7 lands—adventureland, grizzly gulch, mystic point, toy story land, fantasyland, tomorrowland and main street, u.s.a.—filled with beauty, excitement and disney characters.	1.0
This enormous Japanese department store sells everything from watches and handbags to Hello Kitty toys, electrical appliances, and dainty Japanese cakes and candies.	this enormous japanese department store sells everything from watches and handbags to hello kitty toys, electrical appliances, and dainty japanese cakes and candies.	1.0
Built at the beginning of the 20th century and declared a heritage monument in 1983, Island House is home to 140 plant species, comprising a mixture of local and introduced species ranging from ferns to mature trees. Island House Conservation Studies Centre is managed by WWF-Hong Kong and hosts various activities, events and programmes that highlight the importance of conservation and sustainable living.	built at the beginning of the 20th century and declared a heritage monument in 1983, island house is home to 140 plant species, comprising a mixture of local and introduced species ranging from ferns to mature trees. island house conservation studies centre is managed by wwf-hong kong and hosts various activities, events and programmes that highlight the importance of conservation and sustainable living.	1.0
People believe that a giant banyan tree outside the Tin Hau Temple can make wishes come True.	people believe that a giant banyan tree outside the tin hau temple can make wishes come true.	1.0
Popular park in Hong Kong	popular park in hong kong	1.0
This funky modern mall is an air-conditioned oasis in Mongkok. Free WiFi, free parking, and long opening hours set it apart.	this funky modern mall is an air-conditioned oasis in mongkok. free wifi, free parking, and long opening hours set it apart.	1.0
Located a few stops on the MTR from Causeway Bay, on Hong Kong's quieter east coast, this large family-friendly mall features 170 stores, plus an ice-skating rink complete with boot hire and lockers.	located a few stops on the mtr from causeway bay, on hong kong's quieter east coast, this large family-friendly mall features 170 stores, plus an ice-skating rink complete with boot hire and lockers.	1.0
Hong Kong's largest private museum of design, craftsmanship and heritage. Home to two of the world's best collections of antiques: classical Chinese furniture and European vanity cases. Exhibitions are rotated every 6 months.	hong kong's largest private museum of design, craftsmanship and heritage. home to two of the world's best collections of antiques: classical chinese furniture and european vanity cases. exhibitions are rotated every 6 months.	1.0
